,country,subCategory,industry,title,multi_location,type,orgFunction,experience,locale,multi_location_array,jobSeqNo,postedDate,searchresults_display,descriptionTeaser,dateCreated,state,targetLevel,jd_display,reqId,badge,jobId,isMultiLocation,jobVisibility,mostpopular,location,category,locationLatlong
0,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798458,2020-02-22T05:33:00,,"Security is a topic you read about every day, and securing the Cloud is more important than ever. Business and governments are under constant threat from a variety of actors, and they are moving to",2020-02-22T06:45:32.517000,Washington,62,,,,798458,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
1,Brazil,Data Center Technician,,Data Center Technician,"['Other, Other, Brazil']",,,Experienced professionals,en_us,"[{'location': 'Other, Other, Brazil'}]",797457,2020-02-21T02:49:00,,"Microsoft&rsquo;s Cloud Operations &amp; Innovation (CO+I) is the engine that powers our cloud services. As a CO+I Datacenter Technician, you will perform a key role in delivering the core",2020-02-21T03:11:54.988000,Other,35,,,,797457,True,['external'],0.0,"Other, Other, Brazil",Data Center,
2,United States,Hardware Development Engineering,,Silicon Principal CAD Engineer,"['Raleigh, North Carolina, United States']",,,Experienced professionals,en_us,"[{'location': 'Raleigh, North Carolina, United States'}]",790592,2020-02-07T17:49:00,,Do you have broad technical knowledge of silicon development process from specification to release to fabrication? You will be part of a team responsible for delivering the latest EDA tool,2020-02-07T19:02:05.505000,North Carolina,65,,,,790592,True,['external'],0.0,"Raleigh, North Carolina, United States",Hardware Engineering,
3,United States,Program Management,,Program Manager 2,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",746988,2019-11-20T20:16:00,,"The Language as a Service (LaaS) mission is to provide global customers across Office, Teams, Gaming and Windows with product experiences they love by enabling them to be more productive, more engaged",2019-11-20T20:20:32.823000,Washington,61,,,,746988,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
4,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",781275,2020-01-27T19:29:00,,Are you looking for an opportunity to build software and systems for some of the biggest data centers that humanity has ever created? The Azure Networking team is responsible for designing and,2020-01-27T20:13:18.834000,Washington,62,,,,781275,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
5,United States,Software Engineering,,Senior Software Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",777690,2020-02-21T01:52:00,,"Are you interested in working for one of the most exciting teams in Microsoft? Then look no further than Microsoft Teams Core Services team. You will be building resilient, highly available, highly",2020-02-21T01:54:44.705000,Washington,63,,,,777690,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
6,United States,Software Engineering,,Principal Software Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",765338,2020-02-21T01:53:00,,Are you interested in working for one of the most exciting products at Microsoft? Then look no further than Microsoft Teams. You will be building solutions that leverage state of the art technologies,2020-02-21T01:54:47.663000,Washington,65,,,,765338,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
7,Australia,Delivery & Relationship Management,,Principal Project Manager- Dynamics 365,"['Brisbane, Queensland, Australia', 'Canberra, Australian Capital Territory, Australia', 'Sydney, New South Wales, Australia']",,,Experienced professionals,en_us,"[{'location': 'Brisbane, Queensland, Australia'}, {'location': 'Canberra, Australian Capital Territory, Australia'}, {'location': 'Sydney, New South Wales, Australia'}]",794946,2020-02-21T07:49:00,," Are you looking to join a team where you help customers use the latest technology, where you receive cutting edge training and where you&rsquo;re empowered to make a difference?We need enthusiastic",2020-02-21T08:23:37.341000,Queensland,62,,,,794946,True,['external'],0.0,"Brisbane, Queensland, Australia",Services,
8,India,Program Management,,Principal Program Manager,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",758474,2020-02-21T05:07:00,,"Will you be fascinated about building natural, personalized and assistive experience for Microsoft Office products with experts in Machine Learning and NLP from global teams? Do you want your products",2020-02-21T05:16:32.836000,Telangana,65,,,,758474,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
9,Malaysia,Delivery & Relationship Management,,Account Delivery Executive,"['Kuala Lumpur, Selangor, Malaysia']",,,Experienced professionals,en_us,"[{'location': 'Kuala Lumpur, Selangor, Malaysia'}]",796023,2020-02-21T05:57:00,,"Join us and be one who empowers billions! That&rsquo;s incredible reach. When you combine that with your own inspiration, plus the freedom and support to make your ideas happen, you can make a huge",2020-02-21T05:59:33.567000,Selangor,,,,,796023,True,['external'],0.0,"Kuala Lumpur, Selangor, Malaysia",Services,
10,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",789834,2020-02-08T00:29:00,,"Would you like to contribute to Windows, a product that tens of millions use everyday? Join us to advance the Windows OS for our customers. You can make it better. We lead the way on creating and",2020-02-08T01:07:39.687000,Washington,61,,,,789834,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
11,Kenya,Software Engineering,,Senior Software Development Engineer Lead,"['Nairobi, Nairobi City, Kenya']",,,Experienced professionals,en_us,"[{'location': 'Nairobi, Nairobi City, Kenya'}]",798067,2020-02-21T16:36:00,,The Bot Framework team in E+D division is looking for a talented Senior Python Development Engineer to design and build features for Microsoft Bot Framework. Our customers range from individual open,2020-02-21T16:38:34.529000,Nairobi City,63,,,,798067,True,['external'],0.0,"Nairobi, Nairobi City, Kenya",Engineering,
12,United States,Program Management,,Senior Program Manager - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",797876,2020-02-21T17:00:00,,"The Azure Global team is looking for a strong, motivated, independent, and energetic program manager to drive complex project requirements, cross-team communication, and execution accountability",2020-02-21T17:01:32.424000,Washington,63,,,,797876,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
13,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796848,2020-02-24T18:07:00,,"Are you looking to add cloud experience onto your resume? Are you excited to be at the forefront of software as a service, especially for the highly profitable and high growth enterprise customers?",2020-02-24T18:16:33.064000,Washington,60,,,,796848,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
14,United States,Software Engineering,,Principal Software Engineering Manager - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747130,2019-11-20T22:42:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:46:36.599000,Virginia,66,,,,747130,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
15,United States,Software Engineering,,Senior Software Engineer - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747126,2019-11-20T22:49:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:57:32.909000,Virginia,64,,,,747126,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
16,United States,Software Development,,Senior SWFW Engineer,"['Sunnyvale, California, United States']",,,Experienced professionals,en_us,"[{'location': 'Sunnyvale, California, United States'}]",795458,2020-02-24T17:51:00,,Microsoft Devices Software team is on a journey to create new experiences with Surface Duo. We believe in building devices that fully express the Microsoft vision. Fundamental part of our strategy is,2020-02-24T17:55:34.519000,California,64,,,,795458,True,['external'],0.0,"Sunnyvale, California, United States",Engineering,
17,India,Software Engineering,,Senior Software Engineer,"['Bangalore, Karnataka, India']",,,Experienced professionals,en_us,"[{'location': 'Bangalore, Karnataka, India'}]",783482,2020-02-24T07:28:00,,"GitHub is changing the way the world builds software, and we want you to help build GitHub. We are looking for a Senior Software Engineer to work with a dynamic and distributed team, building and",2020-02-24T07:30:32.134000,Karnataka,64,,,,783482,True,['external'],0.0,"Bangalore, Karnataka, India",Engineering,
18,Israel,Software Engineering,,Software Engineer  - Azure Monitor,"['Herzliya, Tel Aviv, Israel']",,,Experienced professionals,en_us,"[{'location': 'Herzliya, Tel Aviv, Israel'}]",756029,2020-02-12T13:20:00,,"Microsoft&rsquo;s mission to empower every organization to achieve more is reliant on providing our customerswith advanced and extensive tools and services to help collect, manage and process their",2020-02-12T14:51:19.208000,Tel Aviv,61,,,,756029,True,['external'],0.0,"Herzliya, Tel Aviv, Israel",Engineering,
19,India,Software Engineering,,Sr. Software Engineer (Data Science),"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",771702,2020-01-10T11:50:00,,Are you looking for work in the most interesting business in Microsoft? Do you want to help deliver quality Line of Business applications on the latest Microsoft technologies to help the SUPPLY CHAIN,2020-01-10T11:53:33.472000,Telangana,63,,,,771702,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
20,China,Technology Solutions,,"Technical Specialist, Azure Networking","['Beijing, Beijing, China', 'Shanghai, Shanghai, China', 'Guangzhou, Guangdong, China']",,,Experienced professionals,en_us,"[{'location': 'Beijing, Beijing, China'}, {'location': 'Shanghai, Shanghai, China'}, {'location': 'Guangzhou, Guangdong, China'}]",796305,2020-02-20T09:00:00,,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and",2020-02-20T09:04:40.887000,Beijing,63,,,,796305,True,['external'],0.0,"Beijing, Beijing, China",Technical Sales,
21,China,Support Engineering,,Escalation Engineer,"['Shanghai, Shanghai, China']",,,Experienced professionals,en_us,"[{'location': 'Shanghai, Shanghai, China'}]",798756,2020-02-24T08:17:00,,Interested in being on the cutting edge of Cloud Services? Then come join Microsoft as an Embedded Escalation Engineer (EEE) working with Power BI and related technologies.We are building an,2020-02-24T08:20:35.416000,Shanghai,60,,,,798756,True,['external'],0.0,"Shanghai, Shanghai, China",Services,
22,India,Software Engineering,,Senior Software Engineer,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",749055,2020-02-20T09:07:00,,We are Azure - the world's computer powering from the intelligent cloud to the intelligent edge. The enormity of this charter is hard to overstate and we're just getting started. And as our,2020-02-20T09:11:33.151000,Telangana,63,,,,749055,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
23,Israel,Design,,Experienced Designer- MS Security Design Studio,"['Herzliya, Tel Aviv, Israel']",,,Experienced professionals,en_us,"[{'location': 'Herzliya, Tel Aviv, Israel'}]",781304,2020-01-27T15:18:00,," Do you put human needs and motivations at the center of your design thinking? Do you like solving tough technical problems through collaboration, strong design thinking, and excellent visual design",2020-01-27T15:29:37.811000,Tel Aviv,61,,,,781304,True,['external'],0.0,"Herzliya, Tel Aviv, Israel",Engineering,
24,France,Software Engineering,,Software Engineer,"['Issy Les Moulineaux, Hauts-de-Seine, France']",,,Experienced professionals,en_us,"[{'location': 'Issy Les Moulineaux, Hauts-de-Seine, France'}]",796087,2020-02-24T12:13:00,,Are you passionate about building world class experiences for business customers? Would you like to be a part of a diverse and inclusive team in Paris collaborating with groups around the world? The,2020-02-24T12:18:30.902000,Hauts-de-Seine,61,,,,796087,True,['external'],0.0,"Issy Les Moulineaux, Hauts-de-Seine, France",Engineering,
