,job_title,jobid,location_city,location_state,location_country,date_posted
0,Full Stack Java Software Engineer,200012294,Columbus,OH,US,2-11-2020
1,Java Software Engineer,190112260,New York,NY,US,1-10-2020
2,Platform Services - Software Engineer - Observability Engineering,190102457,Plano,TX,US,2-10-2020
3,Software Engineer - Automation/Performance,200011736,Wilmington,DE,US,2-10-2020
4,Full Stack Java/J2EE Software Engineer,190111555,Lewisville,TX,US,2-18-2020
5,Infrastructure Engineer,190067749,Houston,TX,US,8-12-2019
6,Site Reliability Engineer - Digital Technology,190109985,Columbus,OH,US,12-17-2019
7,Lead Software Engineer,200009873,Wilmington,DE,US,2-17-2020
8,Software Development Engineer  |  Cloud,190067483,Lewisville,TX,US,11-15-2019
9,User Interface Software Engineer,190114723,Chicago,IL,US,2-14-2020
10,Software Engineer,190114724,Chicago,IL,US,2-14-2020
11,J2EE Software Engineer,190095549,Columbus,OH,US,2-13-2020
12,Java Software Engineer - Smart Data,200003981,Chicago,IL,US,2-14-2020
13,Software Engineer Lead Developer for Regulatory Engagements Technology - VP,200006985,Jersey City,NJ,US,2-13-2020
14,Software Engineer - Java / Microservices,190002074,Glasgow,SCT,US,5-9-2019
15,Progress/Java - Software Engineer,190014437,Wilmington,DE,US,5-9-2019
16,Senior Back End Java Software Engineer,190029070,Houston,TX,US,3-29-2019
17,"Software Engineer (Python, Java) for FX Options Technology",190065310,Jersey City,NJ,US,2-12-2020
18,Software Engineer,190114510,Chicago,IL,US,2-13-2020
19,Software Engineer – Java - Cloud Developer,200005202,Tampa,FL,US,2-13-2020
20,Windows Operations System Engineer,200009237,Columbus,OH,US,2-13-2020
21,Windows Operations System Engineer,200009233,Columbus,OH,US,2-13-2020
22,Senior Java Frameworks and Services Software Engineer,200011660,Westerville,OH,US,2-12-2020
23,Software Engineer - Java,200006950,Tampa,FL,US,2-12-2020
24,Java Software Engineer,190099609,Plano,TX,US,2-12-2020
25,Site Reliability Engineer (SRE),200010450,Lewisville,TX,US,2-21-2020
26,Java J2EE Software Engineering Lead,200012758,Columbus,OH,US,2-21-2020
27,"Software Engineer - Java, Angular, React",200011111,Chicago,IL,US,2-20-2020
28,Adobe Experience Manager / Full Stack  – Software Engineer,190109266,Columbus,OH,US,12-20-2019
29,Software Engineer,190114350,Lewisville,TX,US,2-19-2020
30,Software Engineer - Java,190112255,New York,NY,US,1-10-2020
31,Java Software Engineer,200015993,Columbus,OH,US,2-20-2020
32,Fullstack Software Engineer  - .Net,200011136,Chicago,IL,US,2-20-2020
33,DevOps Engineer,200014011,Plano,TX,US,2-20-2020
34,Vice President Software Engineering,200010374,Plano,TX,US,2-19-2020
35,Software Engineer - Java,200009406,Plano,TX,US,2-19-2020
36,Senior Big Data Software Engineering Lead,200015409,Lewisville,TX,US,2-19-2020
37,Senior Big Data Software Engineering Lead,200015174,Lewisville,TX,US,2-19-2020
38,Performance Engineer,190110927,Chicago,IL,US,2-19-2020
39,Software Engineer - C#/.NET,200009742,Lewisville,TX,US,2-19-2020
40,Data Visualization Software Engineer,200014576,Columbus,OH,US,2-19-2020
41,Automation QA Engineer - RBAC,200010216,Lewisville,TX,US,2-19-2020
42,Java Software Engineer,200013363,Columbus,OH,US,2-18-2020
43,Software Engineer - Front End,200014909,New York,NY,US,2-18-2020
44,Software Engineer - Java,200000485,Chicago,IL,US,2-18-2020
45,Software Engineer (C# .NET),200005599,Chicago,IL,US,2-18-2020
46,Software Engineer (C# .NET),200005595,Chicago,IL,US,2-18-2020
47,Java (Microservices) Software Engineer,200003939,Plano,TX,US,2-18-2020
48,Senior Software Engineer,200008364,Chicago,IL,US,2-18-2020
49,Software Engineer - Customer Security Analysis & Response,200007379,Columbus,OH,US,2-24-2020
50,Software Engineering,200004520,Wilmington,DE,US,2-24-2020
51,Java Software Engineer,190111650,Houston,TX,US,1-24-2020
52,Full Stack Software Engineer,200016384,Seattle,WA,US,2-24-2020
53,Full Stack Software Engineer - Java/Angular,200003860,Houston,TX,US,2-24-2020
54,Windows Operations System Engineer,200009239,Columbus,OH,US,2-24-2020
55,DevOps Software Engineer,200011871,Columbus,OH,US,2-24-2020
56,Full-Stack Software Engineer,200007561,Jersey City,NJ,US,2-19-2020
57,Windows Operations System Engineer,190111141,Columbus,OH,US,2-24-2020
58,Senior Software Engineer - Java,200012433,Tampa,FL,US,2-21-2020
59,Digital Forensics Technology Engineer,200013080,Plano,TX,US,2-24-2020
60,Senior Big Data Software Engineering Lead,200015425,Lewisville,TX,US,2-24-2020
61,Infrastructure Engineering Lead,190103091,Columbus,OH,US,2-24-2020
62,Infrastructure Engineer Lead,190114903,Columbus,OH,US,2-24-2020
63,Software Engineer,200000075,Houston,TX,US,1-22-2020
64,Software Engineering,200005766,Jersey City,NJ,US,1-22-2020
65,Software Engineer - .Net,200012399,Tampa,FL,US,2-21-2020
66,Site Reliability Engineer (SRE),200010450_1,Jersey City,NJ,US,2-21-2020
67,Software Engineer,200017125,Newark,DE,US,2-24-2020
68,Java/J2EE - Site Reliability Engineer,190102304,Newark,DE,US,2-25-2020
69,Java Software Engineer / Developer,200010387,Columbus,OH,US,2-25-2020
70,Software Engineer- JAVA/Angular,200007546,Houston,TX,US,2-25-2020
71,Java Full-Stack Software Engineer,200007468,Houston,TX,US,2-25-2020
72,Lead Java Software Engineer,200004101,Columbus,OH,US,2-25-2020
73,ETL Software Engineer,200010405,Columbus,OH,US,2-25-2020
74,Java Software Engineer Associate,200013974,Plano,TX,US,2-25-2020
75,Java Software Engineer Associate,200013978,Plano,TX,US,2-25-2020
76,Java Software Engineer Associate,200003928,Plano,TX,US,2-25-2020
77,Java Software Engineer Associate,200003927,Plano,TX,US,2-25-2020
78,Software Engineering,200017368,New York,NY,US,2-25-2020
79,Java Software Engineer,200002967,Columbus,OH,US,1-24-2020
80,Senior Web UI Software Engineer– Data Engineering,200011323,Chicago,IL,US,2-25-2020
81,Software Engineer,200011291,Jersey City,NJ,US,2-25-2020
82,Software Engineering,200016976,Columbus,OH,US,2-25-2020
83,KDB Engineering for Securitized Products,200014196,Jersey City,NJ,US,2-25-2020
84,Executive Director - Cloud Data Platform Engineering Lead,190085563_3,Seattle,WA,US,2-25-2020
85,Executive Director - Cloud Data Platform Engineering Lead,190085563_2,San Mateo,CA,US,2-25-2020
86,Executive Director - Cloud Data Platform Engineering Lead,190085563_1,Plano,TX,US,2-25-2020
87,Executive Director - Cloud Data Platform Engineering Lead,190085563,Jersey City,NJ,US,2-25-2020
88,Big Data Hadoop Engineer,200017398,Columbus,OH,US,2-25-2020
89,Full Stack Software Engineer,200013328,Houston,TX,US,2-21-2020
90,AI Platform Senior Backend Engineer - Assoc,200013167_1,New York,NY,US,2-18-2020
91,AI Platform Senior Backend Engineer - Assoc,200013167,San Mateo,CA,US,2-18-2020
92,Application Security Software Engineer,200005228,Westerville,OH,US,2-25-2020
93,AI/ML Platform & Engineering - Software Engineer,200012021,Jersey City,NJ,US,2-19-2020
94,Software Engineer - Java,200004440,New York,NY,US,2-26-2020
95,QA Automation Engineer,200004336,New York,NY,US,2-26-2020
96,AI/ML Platform & Engineering - Software Engineer,200013106,Jersey City,NJ,US,2-26-2020
97,Sr  Lead Software Engineer,200013261,Houston,TX,US,2-26-2020
98,CCB Fraud Technology Java Software Engineer,200001325,Wilmington,DE,US,2-26-2020
99,Microservices Software Engineer – Digital Sales Technology,200010753,New York,NY,US,2-26-2020
100,Microservices Software Engineer – Digital Sales Technology,200010754,New York,NY,US,2-26-2020
101,AI/ML Platform & Engineering - Software Engineer,200013133,Jersey City,NJ,US,2-19-2020
102,Java Software Engineer,200010231,Wilmington,DE,US,2-26-2020
103,ETL Software Engineer - Digital Sales Technology,200010783,New York,NY,US,2-26-2020
104,Salesforce Engineering Lead – Digital Sales Technology,200010751,New York,NY,US,2-26-2020
105,Full Stack Robotics Software Engineer (Java/.Net),200017573,Houston,TX,US,2-25-2020
106,Java Software Engineering Lead,190083612,Lewisville,TX,US,2-26-2020
107,Java Software Engineer,200015855,Newark,DE,US,2-26-2020
108,CyberSecurity Support & Production Support Engineer - Linux,200018001,Lewisville,TX,US,2-26-2020
109,Big Data Software Engineer,200003653,Lewisville,TX,US,2-26-2020
110,QA Automation Engineer,200017466,Westerville,OH,US,2-28-2020
111,Senior Java Frameworks and Services Software Engineer,200011108,Westerville,OH,US,2-28-2020
112,Full Stack Software Engineer - Java/Angular,200003971,Houston,TX,US,2-24-2020
113,Senior Java Software Engineer,190108262,Chicago,IL,US,11-25-2019
114,Software Automation Engineer,200011686,Chicago,IL,US,2-27-2020
115,Software Automation Engineer,200011677,Chicago,IL,US,2-27-2020
116,FullStack Software Engineer - Java,200018142,Chicago,IL,US,2-27-2020
117,Digital Java Software Engineer,200010979,Wilmington,DE,US,2-27-2020
118,DevOps Engineer-Python,200018645,Houston,TX,US,2-27-2020
119,"Full Stack Software Engineer - C#, .NET",200013630,Plano,TX,US,2-27-2020
120,"Software Engineer - C#, .NET",200013634,Plano,TX,US,2-27-2020
121,iOS Developer - Mobile Engineer,200013596,New York,NY,US,2-26-2020
